,property,pset,templatetype,measuretype
0,RequestSourceLabel,Pset_ActionRequest,P_SINGLEVALUE,IFCLABEL
1,RequestSourceName,Pset_ActionRequest,P_REFERENCEVALUE,IFCPERSON
2,RequestComments,Pset_ActionRequest,P_SINGLEVALUE,IFCTEXT
3,NumberOfActors,Pset_ActorCommon,P_SINGLEVALUE,IFCCOUNTMEASURE
4,ActorCategory,Pset_ActorCommon,P_SINGLEVALUE,IFCLABEL
5,SkillLevel,Pset_ActorCommon,P_SINGLEVALUE,IFCLABEL
6,PositionHistory,Pset_ActuatorPHistory,P_REFERENCEVALUE,IFCTIMESERIES
7,QualityHistory,Pset_ActuatorPHistory,P_REFERENCEVALUE,IFCTIMESERIES
8,StatusHistory,Pset_ActuatorPHistory,P_REFERENCEVALUE,IFCTIMESERIES
9,Reference,Pset_ActuatorTypeCommon,P_SINGLEVALUE,IFCIDENTIFIER
10,ActuatorStatus,Pset_ActuatorTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
11,FailPosition,Pset_ActuatorTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
12,ManualOverride,Pset_ActuatorTypeCommon,P_SINGLEVALUE,IFCBOOLEAN
13,ActuatorApplication,Pset_ActuatorTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
14,ActuatorInputPower,Pset_ActuatorTypeElectricActuator,P_SINGLEVALUE,IFCPOWERMEASURE
15,ElectricActuatorType,Pset_ActuatorTypeElectricActuator,P_ENUMERATEDVALUE,IFCLABEL
16,ControlPulseCurrent,Pset_ActuatorTypeElectricActuator,P_SINGLEVALUE,IFCELECTRICCURRENTMEASURE
17,InputPressure,Pset_ActuatorTypeHydraulicActuator,P_SINGLEVALUE,IFCPRESSUREMEASURE
18,InputFlowrate,Pset_ActuatorTypeHydraulicActuator,P_SINGLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
19,Force,Pset_ActuatorTypeLinearActuation,P_SINGLEVALUE,IFCFORCEMEASURE
20,Stroke,Pset_ActuatorTypeLinearActuation,P_SINGLEVALUE,IFCLENGTHMEASURE
21,InputPressure,Pset_ActuatorTypePneumaticActuator,P_SINGLEVALUE,IFCPRESSUREMEASURE
22,InputFlowrate,Pset_ActuatorTypePneumaticActuator,P_SINGLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
23,Torque,Pset_ActuatorTypeRotationalActuation,P_SINGLEVALUE,IFCTORQUEMEASURE
24,RangeAngle,Pset_ActuatorTypeRotationalActuation,P_SINGLEVALUE,IFCPLANEANGLEMEASURE
25,Purpose,Pset_Address,P_ENUMERATEDVALUE,IFCLABEL
26,Description,Pset_Address,P_SINGLEVALUE,IFCTEXT
27,UserDefinedPurpose,Pset_Address,P_SINGLEVALUE,IFCLABEL
28,InternalLocation,Pset_Address,P_SINGLEVALUE,IFCLABEL
29,AddressLines,Pset_Address,P_LISTVALUE,IFCLABEL
30,PostalBox,Pset_Address,P_SINGLEVALUE,IFCLABEL
31,Town,Pset_Address,P_SINGLEVALUE,IFCLABEL
32,Region,Pset_Address,P_SINGLEVALUE,IFCLABEL
33,PostalCode,Pset_Address,P_SINGLEVALUE,IFCLABEL
34,Country,Pset_Address,P_SINGLEVALUE,IFCLABEL
35,TelephoneNumbers,Pset_Address,P_LISTVALUE,IFCLABEL
36,FacsimileNumbers,Pset_Address,P_LISTVALUE,IFCLABEL
37,PagerNumber,Pset_Address,P_SINGLEVALUE,IFCLABEL
38,ElectronicMailAddresses,Pset_Address,P_LISTVALUE,IFCLABEL
39,WWWHomePageURL,Pset_Address,P_SINGLEVALUE,IFCURIREFERENCE
40,MessagingIDs,Pset_Address,P_LISTVALUE,IFCURIREFERENCE
41,Description,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCTEXT
42,AirSideSystemType,Pset_AirSideSystemInformation,P_ENUMERATEDVALUE,IFCLABEL
43,AirSideSystemDistributionType,Pset_AirSideSystemInformation,P_ENUMERATEDVALUE,IFCLABEL
44,TotalAirFlow,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
45,EnergyGainTotal,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCPOWERMEASURE
46,AirFlowSensible,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
47,EnergyGainSensible,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCPOWERMEASURE
48,EnergyLoss,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCPOWERMEASURE
49,InfiltrationDiversitySummer,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCPOSITIVERATIOMEASURE
50,InfiltrationDiversityWinter,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCPOSITIVERATIOMEASURE
51,ApplianceDiversity,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCPOSITIVERATIOMEASURE
52,HeatingTemperatureDelta,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCTHERMODYNAMICTEMPERATUREMEASURE
53,CoolingTemperatureDelta,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCTHERMODYNAMICTEMPERATUREMEASURE
54,Ventilation,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
55,FanPower,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCPOWERMEASURE
56,DamperPosition,Pset_AirTerminalBoxPHistory,P_REFERENCEVALUE,IFCTIMESERIES
57,AtmosphericPressure,Pset_AirTerminalBoxPHistory,P_REFERENCEVALUE,IFCTIMESERIES
58,Sound,Pset_AirTerminalBoxPHistory,P_REFERENCEVALUE,IFCTIMESERIES
59,AirFlowCurve,Pset_AirTerminalBoxPHistory,P_REFERENCEVALUE,IFCTIMESERIES
60,Reference,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCIDENTIFIER
61,Status,Pset_AirTerminalBoxTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
62,AirFlowRateRange,Pset_AirTerminalBoxTypeCommon,P_BOUNDEDVALUE,IFCVOLUMETRICFLOWRATEMEASURE
63,AirPressureRange,Pset_AirTerminalBoxTypeCommon,P_BOUNDEDVALUE,IFCPRESSUREMEASURE
64,NominalAirFlowRate,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
65,ArrangementType,Pset_AirTerminalBoxTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
66,ReheatType,Pset_AirTerminalBoxTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
67,HasSoundAttenuator,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCBOOLEAN
68,HasReturnAir,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCBOOLEAN
69,HasFan,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCBOOLEAN
70,NominalInletAirPressure,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCPRESSUREMEASURE
71,NominalDamperDiameter,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
72,HousingThickness,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCLENGTHMEASURE
73,OperationTemperatureRange,Pset_AirTerminalBoxTypeCommon,P_BOUNDEDVALUE,IFCTHERMODYNAMICTEMPERATUREMEASURE
74,ReturnAirFractionRange,Pset_AirTerminalBoxTypeCommon,P_BOUNDEDVALUE,IFCPOSITIVERATIOMEASURE
75,AirFlowType,Pset_AirTerminalOccurrence,P_ENUMERATEDVALUE,IFCLABEL
76,AirFlowRate,Pset_AirTerminalOccurrence,P_SINGLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
77,AirTerminalLocation,Pset_AirTerminalOccurrence,P_ENUMERATEDVALUE,IFCLABEL
78,AirFlowRateHistory,Pset_AirTerminalPHistory,P_REFERENCEVALUE,IFCTIMESERIES
79,NeckAirVelocity,Pset_AirTerminalPHistory,P_REFERENCEVALUE,IFCTIMESERIES
80,SupplyAirTemperatureHeating,Pset_AirTerminalPHistory,P_REFERENCEVALUE,IFCTIMESERIES
81,SupplyAirTemperatureCooling,Pset_AirTerminalPHistory,P_REFERENCEVALUE,IFCTIMESERIES
82,PressureDrop,Pset_AirTerminalPHistory,P_REFERENCEVALUE,IFCTIMESERIES
83,InductionRatio,Pset_AirTerminalPHistory,P_TABLEVALUE,IFCREAL
84,CenterlineAirVelocity,Pset_AirTerminalPHistory,P_TABLEVALUE,IFCLINEARVELOCITYMEASURE
85,Reference,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCIDENTIFIER
86,Status,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
87,AirTerminalShape,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
88,FaceType,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
89,SlotWidth,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
90,SlotLength,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
91,NumberOfSlots,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCCOUNTMEASURE
92,FlowPattern,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
93,AirFlowRateRange,Pset_AirTerminalTypeCommon,P_BOUNDEDVALUE,IFCVOLUMETRICFLOWRATEMEASURE
94,TemperatureRange,Pset_AirTerminalTypeCommon,P_BOUNDEDVALUE,IFCTHERMODYNAMICTEMPERATUREMEASURE
95,DischargeDirection,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
96,ThrowLength,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCLENGTHMEASURE
97,AirDiffusionPerformanceIndex,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCREAL
98,FinishType,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
99,FinishColour,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCLABEL
100,AirTerminalMountingType,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
101,CoreType,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
102,CoreSetHorizontal,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCPLANEANGLEMEASURE
103,CoreSetVertical,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCPLANEANGLEMEASURE
104,HasIntegralControl,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCBOOLEAN
105,FlowControlType,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
